query_pair_id,query_subject,query_task_original,query_task_family,query_side,query_quality_flag,candidate_pair_id,candidate_subject,candidate_task_original,candidate_task_family,candidate_side,candidate_quality_flag,is_true_pair,match_level,number_of_candidates,heldout_subject,variant_name,variant_category,feature_space,score_kind,distance,weight_scheme,residualized,n_features,score,aperiodic_score,v2_score,v2_rank_for_stage,true_in_v2_top_k,rank
sub-0cGdk9|MoveL,sub-0cGdk9,MoveL,Move,L,good,sub-AB2PeX|MoveL,sub-AB2PeX,MoveL,Move,L,good,False,task_original_side_quality,10,sub-0cGdk9,v2A_top5_aperiodic_rerank,frozen_v2_candidate_generator,full_28_plus_coupling,group_balanced,cosine,baseline_all_weights_1,False,61,1007.0,0.8781522980893088,0.8586019491271846,7,True,7
sub-0cGdk9|MoveL,sub-0cGdk9,MoveL,Move,L,good,sub-dCsWjQ|MoveL,sub-dCsWjQ,MoveL,Move,L,good,False,task_original_side_quality,10,sub-0cGdk9,v2A_top5_aperiodic_rerank,frozen_v2_candidate_generator,full_28_plus_coupling,group_balanced,cosine,baseline_all_weights_1,False,61,1008.0,0.7237634172476481,1.1495852348282762,8,True,8
sub-0cGdk9|MoveL,sub-0cGdk9,MoveL,Move,L,good,sub-AbzsOg|MoveL,sub-AbzsOg,MoveL,Move,L,good,False,task_original_side_quality,10,sub-0cGdk9,v2A_top5_aperiodic_rerank,frozen_v2_candidate_generator,full_28_plus_coupling,group_balanced,cosine,baseline_all_weights_1,False,61,1009.0,1.4457885305220493,1.1618540869648097,9,True,9
sub-0cGdk9|MoveL,sub-0cGdk9,MoveL,Move,L,good,sub-hnetKS|MoveL,sub-hnetKS,MoveL,Move,L,good,False,task_original_side_quality,10,sub-0cGdk9,v2A_top5_aperiodic_rerank,frozen_v2_candidate_generator,full_28_plus_coupling,group_balanced,cosine,baseline_all_weights_1,False,61,1010.0,0.9095770957841544,1.3226933080746626,10,True,10
sub-2IU8mi|HoldL,sub-2IU8mi,HoldL,Hold,L,good,sub-2IU8mi|HoldL,sub-2IU8mi,HoldL,Hold,L,good,True,task_original_side_quality,7,sub-2IU8mi,v2A_top5_aperiodic_rerank,frozen_v2_candidate_generator,full_28_plus_coupling,group_balanced,cosine,baseline_all_weights_1,False,61,-1.5571889248556776,0.35390272311134674,0.33041311517818756,2,True,1
sub-2IU8mi|HoldL,sub-2IU8mi,HoldL,Hold,L,good,sub-0cGdk9|HoldL,sub-0cGdk9,HoldL,Hold,L,good,False,task_original_side_quality,7,sub-2IU8mi,v2A_top5_aperiodic_rerank,frozen_v2_candidate_generator,full_28_plus_coupling,group_balanced,cosine,baseline_all_weights_1,False,61,-1.2176282389749535,1.1678382425492688,0.21833318206223917,1,True,2
sub-2IU8mi|HoldL,sub-2IU8mi,HoldL,Hold,L,good,sub-hnetKS|HoldL,sub-hnetKS,HoldL,Hold,L,good,False,task_original_side_quality,7,sub-2IU8mi,v2A_top5_aperiodic_rerank,frozen_v2_candidate_generator,full_28_plus_coupling,group_balanced,cosine,baseline_all_weights_1,False,61,0.569894575503881,0.7010849752611443,0.718600414258078,4,True,3
sub-2IU8mi|HoldL,sub-2IU8mi,HoldL,Hold,L,good,sub-PuPVlx|HoldL,sub-PuPVlx,HoldL,Hold,L,good,False,task_original_side_quality,7,sub-2IU8mi,v2A_top5_aperiodic_rerank,frozen_v2_candidate_generator,full_28_plus_coupling,group_balanced,cosine,baseline_all_weights_1,False,61,0.8901065519059332,1.779495656420195,0.5415780465531407,3,True,4
sub-2IU8mi|HoldL,sub-2IU8mi,HoldL,Hold,L,good,sub-QZTsn6|HoldL,sub-QZTsn6,HoldL,Hold,L,good,False,task_original_side_quality,7,sub-2IU8mi,v2A_top5_aperiodic_rerank,frozen_v2_candidate_generator,full_28_plus_coupling,group_balanced,cosine,baseline_all_weights_1,False,61,1.3148160364208186,1.0868393222044155,0.7939303850112949,5,True,5
sub-2IU8mi|HoldL,sub-2IU8mi,HoldL,Hold,L,good,sub-AbzsOg|HoldL,sub-AbzsOg,HoldL,Hold,L,good,False,task_original_side_quality,7,sub-2IU8mi,v2A_top5_aperiodic_rerank,frozen_v2_candidate_generator,full_28_plus_coupling,group_balanced,cosine,baseline_all_weights_1,False,61,1006.0,0.5955071810192759,0.907874153461745,6,True,6
sub-2IU8mi|HoldL,sub-2IU8mi,HoldL,Hold,L,good,sub-dCsWjQ|HoldL,sub-dCsWjQ,HoldL,Hold,L,good,False,task_original_side_quality,7,sub-2IU8mi,v2A_top5_aperiodic_rerank,frozen_v2_candidate_generator,full_28_plus_coupling,group_balanced,cosine,baseline_all_weights_1,False,61,1007.0,1.5377591119507001,1.367971612259196,7,True,7
sub-2IU8mi|MoveL,sub-2IU8mi,MoveL,Move,L,good,sub-2IU8mi|MoveL,sub-2IU8mi,MoveL,Move,L,good,True,task_original_side_quality,10,sub-2IU8mi,v2A_top5_aperiodic_rerank,frozen_v2_candidate_generator,full_28_plus_coupling,group_balanced,cosine,baseline_all_weights_1,False,61,-2.2989019507688795,0.3268153598001732,0.04382194814350685,1,True,1
sub-2IU8mi|MoveL,sub-2IU8mi,MoveL,Move,L,good,sub-gNX5yb|MoveL,sub-gNX5yb,MoveL,Move,L,good,False,task_original_side_quality,10,sub-2IU8mi,v2A_top5_aperiodic_rerank,frozen_v2_candidate_generator,full_28_plus_coupling,group_balanced,cosine,baseline_all_weights_1,False,61,-0.40085702395384304,0.6475341338243308,0.3390136450866912,2,True,2
sub-2IU8mi|MoveL,sub-2IU8mi,MoveL,Move,L,good,sub-FYbcap|MoveL,sub-FYbcap,MoveL,Move,L,good,False,task_original_side_quality,10,sub-2IU8mi,v2A_top5_aperiodic_rerank,frozen_v2_candidate_generator,full_28_plus_coupling,group_balanced,cosine,baseline_all_weights_1,False,61,0.37913559740960134,0.5664084358313644,0.5113373515659687,4,True,3
sub-2IU8mi|MoveL,sub-2IU8mi,MoveL,Move,L,good,sub-0cGdk9|MoveL,sub-0cGdk9,MoveL,Move,L,good,False,task_original_side_quality,10,sub-2IU8mi,v2A_top5_aperiodic_rerank,frozen_v2_candidate_generator,full_28_plus_coupling,group_balanced,cosine,baseline_all_weights_1,False,61,0.837623231206128,0.5807879676838869,0.597760084299385,5,True,4
sub-2IU8mi|MoveL,sub-2IU8mi,MoveL,Move,L,good,sub-PuPVlx|MoveL,sub-PuPVlx,MoveL,Move,L,good,False,task_original_side_quality,10,sub-2IU8mi,v2A_top5_aperiodic_rerank,frozen_v2_candidate_generator,full_28_plus_coupling,group_balanced,cosine,baseline_all_weights_1,False,61,1.4830001461069928,1.5162620937720002,0.500122477214055,3,True,5
sub-2IU8mi|MoveL,sub-2IU8mi,MoveL,Move,L,good,sub-AB2PeX|MoveL,sub-AB2PeX,MoveL,Move,L,good,False,task_original_side_quality,10,sub-2IU8mi,v2A_top5_aperiodic_rerank,frozen_v2_candidate_generator,full_28_plus_coupling,group_balanced,cosine,baseline_all_weights_1,False,61,1006.0,1.0995972828644478,0.7977798246225922,6,True,6
