variant_name,query_subject,query_task,query_side,baseline_true_rank,variant_true_rank,baseline_top1_success,variant_top1_success,change_type,baseline_top_candidate_subject,variant_top_candidate_subject,baseline_top_candidate_task,variant_top_candidate_task,baseline_top_candidate_side,variant_top_candidate_side,baseline_distance_true,variant_distance_true,baseline_margin,variant_margin
v2A_top5_aperiodic_rerank,sub-0cGdk9,HoldL,L,1,1,True,True,unchanged_success,sub-0cGdk9,sub-0cGdk9,HoldL,HoldL,L,L,0.061208529937922786,-1.897191438701241,0.2596783253047839,0.9931162350030018
v2A_top5_aperiodic_rerank,sub-0cGdk9,MoveL,L,1,1,True,True,unchanged_success,sub-0cGdk9,sub-0cGdk9,MoveL,MoveL,L,L,0.037540598450954386,-1.3448206754507785,0.1486386622387542,0.2740046000606129
v2A_top5_aperiodic_rerank,sub-2IU8mi,HoldL,L,2,1,False,True,fail_to_success,sub-0cGdk9,sub-2IU8mi,HoldL,HoldL,L,L,0.33041311517818756,-1.5571889248556776,-0.11207993311594838,0.3395606858807241
v2A_top5_aperiodic_rerank,sub-2IU8mi,MoveL,L,1,1,True,True,unchanged_success,sub-2IU8mi,sub-2IU8mi,MoveL,MoveL,L,L,0.04382194814350685,-2.2989019507688795,0.2951916969431843,1.8980449268150363
v2A_top5_aperiodic_rerank,sub-2IhVOz,HoldR,R,3,3,False,False,unchanged_failure,sub-FIyfdR,sub-FIyfdR,HoldR,HoldR,R,R,1.344087252022619,0.6588091431937372,-0.5404890422628352,-1.8128021371408658
v2A_top5_aperiodic_rerank,sub-2IhVOz,MoveR,R,4,4,False,False,unchanged_failure,sub-VopvKx,sub-jyC0j3,MoveR,MoveR,R,R,1.2973829611050298,1.3267572978828972,-0.5770973402792577,-1.9629046008707989
v2A_top5_aperiodic_rerank,sub-AB2PeX,HoldL,L,2,1,False,True,fail_to_success,sub-gNX5yb,sub-AB2PeX,HoldL,HoldL,L,L,0.33025150482889015,-1.1936027558695645,-0.11881667629884687,0.365393783527147
v2A_top5_aperiodic_rerank,sub-AB2PeX,MoveL,L,1,1,True,True,unchanged_success,sub-AB2PeX,sub-AB2PeX,MoveL,MoveL,L,L,0.04532172921586186,-2.597678795199857,0.5187391216245006,2.7870780305145275
v2A_top5_aperiodic_rerank,sub-AbzsOg,HoldL,L,1,1,True,True,unchanged_success,sub-AbzsOg,sub-AbzsOg,HoldL,HoldL,L,L,0.4027364443922314,-2.148629527775697,0.20315066490321382,1.9030568483895682
v2A_top5_aperiodic_rerank,sub-AbzsOg,MoveL,L,1,1,True,True,unchanged_success,sub-AbzsOg,sub-AbzsOg,MoveL,MoveL,L,L,0.3855769580922605,-2.3183701468970783,0.188454635656004,2.061194524616387
v2A_top5_aperiodic_rerank,sub-BYJoWR,HoldR,R,1,1,True,True,unchanged_success,sub-BYJoWR,sub-BYJoWR,HoldR,HoldR,R,R,0.19522231793297085,-2.6908046432409782,0.5808621377236571,3.1164836497444623
v2A_top5_aperiodic_rerank,sub-FIyfdR,HoldR,R,1,1,True,True,unchanged_success,sub-FIyfdR,sub-FIyfdR,HoldR,HoldR,R,R,0.035121959569786344,-2.093968058204797,0.622247686312158,3.109930062173789
v2A_top5_aperiodic_rerank,sub-FIyfdR,MoveR,R,1,1,True,True,unchanged_success,sub-FIyfdR,sub-FIyfdR,MoveR,MoveR,R,R,0.5098031117453513,-1.9336570794539858,0.22614399207056657,1.1495762007922021
v2A_top5_aperiodic_rerank,sub-FYbcap,HoldL,L,1,1,True,True,unchanged_success,sub-FYbcap,sub-FYbcap,HoldL,HoldL,L,L,0.170675973998463,-1.864217308916925,0.44782636528385,2.4680133953018926
