variant_name,query_subject,query_task,query_side,baseline_true_rank,variant_true_rank,baseline_top1_success,variant_top1_success,change_type,baseline_top_candidate_subject,variant_top_candidate_subject,baseline_top_candidate_task,variant_top_candidate_task,baseline_top_candidate_side,variant_top_candidate_side,baseline_distance_true,variant_distance_true,baseline_margin,variant_margin
v2A_top5_aperiodic_rerank,sub-FYbcap,MoveL,L,2,1,False,True,fail_to_success,sub-AB2PeX,sub-FYbcap,MoveL,MoveL,L,L,0.38203149897389793,-1.6031997715443815,-0.10723482050646305,0.5083754081299858
v2A_top5_aperiodic_rerank,sub-PuPVlx,HoldL,L,1,1,True,True,unchanged_success,sub-PuPVlx,sub-PuPVlx,HoldL,HoldL,L,L,0.10653731418990488,-2.609334064372101,0.23385517295572517,2.1527030484078127
v2A_top5_aperiodic_rerank,sub-PuPVlx,MoveL,L,1,1,True,True,unchanged_success,sub-PuPVlx,sub-PuPVlx,MoveL,MoveL,L,L,0.007740161980205107,-2.2555162663271164,0.13033410339459164,1.5393103827010575
v2A_top5_aperiodic_rerank,sub-QZTsn6,HoldL,L,2,1,False,True,fail_to_success,sub-PuPVlx,sub-QZTsn6,HoldL,HoldL,L,L,0.35585981661622873,-1.545091980741479,-0.15794877601423427,0.084466308942029
v2A_top5_aperiodic_rerank,sub-QZTsn6,MoveL,L,3,2,False,False,unchanged_failure,sub-PuPVlx,sub-PuPVlx,MoveL,MoveL,L,L,0.3367518179505679,-0.9866675323334497,-0.21404989631412813,-0.24636154299483182
v2A_top5_aperiodic_rerank,sub-VopvKx,HoldR,R,1,1,True,True,unchanged_success,sub-VopvKx,sub-VopvKx,HoldR,HoldR,R,R,0.008252926503498329,-2.118483778154513,0.7114829526198287,1.511188067509496
v2A_top5_aperiodic_rerank,sub-VopvKx,MoveR,R,1,1,True,True,unchanged_success,sub-VopvKx,sub-VopvKx,MoveR,MoveR,R,R,0.017267758208514488,-1.9781457957394637,0.39811024390494787,1.3227385656383013
v2A_top5_aperiodic_rerank,sub-dCsWjQ,HoldL,L,4,4,False,False,unchanged_failure,sub-AbzsOg,sub-AbzsOg,HoldL,HoldL,L,L,0.645764589935639,0.9057312080437376,-0.2609390869033987,-2.690590665837626
v2A_top5_aperiodic_rerank,sub-dCsWjQ,MoveL,L,8,8,False,False,unchanged_failure,sub-PuPVlx,sub-PuPVlx,MoveL,MoveL,L,L,0.8593602945464293,1008.0,-0.42010461969770413,-1009.5307015091794
v2A_top5_aperiodic_rerank,sub-gNX5yb,HoldL,L,1,1,True,True,unchanged_success,sub-gNX5yb,sub-gNX5yb,HoldL,HoldL,L,L,0.28717204458286205,-1.5108369059671596,0.13600733968506468,1.692561285303467
v2A_top5_aperiodic_rerank,sub-gNX5yb,MoveL,L,1,1,True,True,unchanged_success,sub-gNX5yb,sub-gNX5yb,MoveL,MoveL,L,L,0.14805613961158956,-2.154353356758912,0.19806970720969022,1.2492240207397824
v2A_top5_aperiodic_rerank,sub-hnetKS,HoldL,L,1,1,True,True,unchanged_success,sub-hnetKS,sub-hnetKS,HoldL,HoldL,L,L,0.2655609384664676,-2.4847243582770084,0.5548481531057119,2.4099238458522936
v2A_top5_aperiodic_rerank,sub-hnetKS,MoveL,L,1,1,True,True,unchanged_success,sub-hnetKS,sub-hnetKS,MoveL,MoveL,L,L,0.3022793862687227,-2.8003297280169948,0.6549576240538366,3.0264063779082155
v2A_top5_aperiodic_rerank,sub-i4oK0F,HoldL,L,1,1,True,True,unchanged_success,sub-i4oK0F,sub-i4oK0F,HoldL,HoldL,L,L,0.3160082743407817,-1.5936937999472638,0.13421800501107622,1.178892932217905
v2A_top5_aperiodic_rerank,sub-i4oK0F,MoveL,L,1,1,True,True,unchanged_success,sub-i4oK0F,sub-i4oK0F,MoveL,MoveL,L,L,0.08355775357376088,-1.7471542896945924,0.0457686839388485,1.290294818415369
v2A_top5_aperiodic_rerank,sub-iDpl28,HoldR,R,1,1,True,True,unchanged_success,sub-iDpl28,sub-iDpl28,HoldR,HoldR,R,R,0.22570576916784688,-2.5166214233187816,0.29357949945976247,2.2705415553747152
v2A_top5_aperiodic_rerank,sub-jyC0j3,HoldR,R,1,1,True,True,unchanged_success,sub-jyC0j3,sub-jyC0j3,HoldR,HoldR,R,R,0.34216867505684445,-1.8407750756539851,0.2414183331495353,2.265587878949696
v2A_top5_aperiodic_rerank,sub-jyC0j3,MoveR,R,1,1,True,True,unchanged_success,sub-jyC0j3,sub-jyC0j3,MoveR,MoveR,R,R,0.04345024092254398,-2.0099620052502036,0.21883409038225474,1.1678235551562077
v2A_top5_aperiodic_rerank,sub-oLNpHd,HoldL,L,1,1,True,True,unchanged_success,sub-oLNpHd,sub-oLNpHd,HoldL,HoldL,L,L,0.13929259226573418,-2.291137067620405,0.1809073949566791,1.721596503048374
v2A_top5_aperiodic_rerank,sub-oLNpHd,MoveL,L,1,1,True,True,unchanged_success,sub-oLNpHd,sub-oLNpHd,MoveL,MoveL,L,L,0.15502523804985172,-2.1786708803624437,0.10501585736734956,1.6586484036733409
