variant_name,n_pairs,top1,mrr,top3,top5,percentile_rank,mean_true_rank,median_true_rank,failures,retrieval_margin,failure_type_counts_json,failure_type_other_subject_same_task_side,failure_type_quality_related,v2_failures,v2A_failures,v2B_failures,v2_failure_to_v2A_success,v2_success_to_v2A_failure,v2_v2A_unchanged_success,v2_v2A_unchanged_failure,v2A_failure_to_v2B_success,v2A_success_to_v2B_failure,v2A_v2B_unchanged_success,v2A_v2B_unchanged_failure,v2_failure_to_v2B_success,v2_success_to_v2B_failure,v2_v2B_unchanged_success,v2_v2B_unchanged_failure,delta_top1_vs_v2,delta_mrr_vs_v2,delta_top1_vs_v2A,delta_mrr_vs_v2A,top1_same_subject_rate,top1_same_subject_wrong_rate,top1_wrong_task_or_side_rate,subject_fingerprint_gap
v2_reference,33,0.7272727272727273,0.8255050505050505,0.9090909090909091,0.9696969696969697,0.8726660544842364,1.6666666666666667,1.0,9,0.1380571483483048,"{""other_subject_same_task_side"": 7, ""quality_related"": 2}",7,2,9,5,5,4,0,24,5,0,0,28,5,4,0,24,5,0.0,0.0,-0.12121212121212122,-0.0671717171717171,0.7272727272727273,0.0,0.0,0.0
v2A_top5_aperiodic_rerank,33,0.8484848484848485,0.8926767676767676,0.9090909090909091,0.9696969696969697,0.8973063973063973,1.4848484848484849,1.0,5,-29.436416870277846,"{""other_subject_same_task_side"": 4, ""quality_related"": 1}",4,1,9,5,5,4,0,24,5,0,0,28,5,4,0,24,5,0.12121212121212122,0.0671717171717171,0.0,0.0,0.8484848484848485,0.0,0.0,0.0
v2B_gated_aperiodic_top5,33,0.8484848484848485,0.8926767676767676,0.9090909090909091,0.9696969696969697,0.8973063973063973,1.4848484848484849,1.0,5,-29.43641687027785,"{""other_subject_same_task_side"": 4, ""quality_related"": 1}",4,1,9,5,5,4,0,24,5,0,0,28,5,4,0,24,5,0.12121212121212122,0.0671717171717171,0.0,0.0,0.8484848484848485,0.0,0.0,0.0
