permutation_index,top1,mrr
0,0.4,0.5018215219879306
1,0.2333333333333333,0.3684515484515485
2,0.2,0.3300291837791838
3,0.2333333333333333,0.4028300403300403
4,0.3333333333333333,0.4453199251728664
5,0.3,0.4305435903965316
6,0.2333333333333333,0.3634494345523757
7,0.3666666666666666,0.5121164619694031
8,0.2666666666666666,0.4040747181381857
9,0.3,0.408964548523372
10,0.2,0.3181923305452718
11,0.3333333333333333,0.4761438853544116
12,0.2333333333333333,0.3762986360045183
13,0.2333333333333333,0.3573458295517119
14,0.2666666666666666,0.3799792473321885
15,0.2333333333333333,0.3810813206401441
16,0.2666666666666666,0.3894810744810745
17,0.2666666666666666,0.4359938039543303
18,0.3333333333333333,0.4369564504123328
19,0.1666666666666666,0.2788746248305072
20,0.2666666666666666,0.392012861865803
21,0.3333333333333333,0.4590366713896125
22,0.4333333333333333,0.5202017100546512
23,0.3333333333333333,0.4824160371219194
24,0.1333333333333333,0.2983863494892907
25,0.3,0.428486975986976
26,0.2666666666666666,0.4053412328412328
27,0.3666666666666666,0.4913287175787175
28,0.2333333333333333,0.3846584243643066
29,0.3333333333333333,0.4672429714534978
30,0.2333333333333333,0.3952466943101618
31,0.3,0.4048810584839997
32,0.2666666666666666,0.4028827653827654
33,0.2333333333333333,0.3695347381376793
34,0.2,0.3848558848558848
35,0.1666666666666666,0.3313163824193236
36,0.3,0.4458325606855018
37,0.3,0.4397897472897473
38,0.2,0.3245847017905842
39,0.2666666666666666,0.4283843933843933
40,0.2333333333333333,0.3540996177025589
41,0.3,0.4123677847207259
42,0.2666666666666666,0.3908830330889154
43,0.3,0.418456322372731
44,0.3333333333333333,0.4622947695006518
45,0.4,0.4911338606926841
46,0.1666666666666666,0.360434532787474
47,0.2,0.3366892366892367
48,0.3333333333333333,0.4463512223071046
49,0.3,0.421778453028453
50,0.3666666666666666,0.5175429798959211
51,0.3,0.4144086931586931
52,0.2333333333333333,0.4083618832148243
53,0.4333333333333333,0.5462904959963785
54,0.4,0.4808176028764264
55,0.3,0.4249472749472749
56,0.1,0.278972753825695
57,0.3333333333333333,0.4783246056775468
58,0.2666666666666666,0.4064014689014689
59,0.3666666666666666,0.4820283093812506
60,0.3666666666666666,0.4687672478307153
61,0.4333333333333333,0.5574909621968446
62,0.2,0.3541040114569526
