permutation_index,random_label_top1,random_label_mrr,matched_task_side_top1,matched_task_side_mrr
0,0.0606060606060606,0.2041635132544223,0.0606060606060606,0.3248917748917748
1,0.0606060606060606,0.2123007463916554,0.0303030303030303,0.2844516594516594
2,0.0909090909090909,0.2374949965859056,0.0303030303030303,0.3287528969347151
3,0.0303030303030303,0.1745932518659791,0.0303030303030303,0.2814956928593292
4,0.0,0.16190577099668,0.0606060606060606,0.3146464646464646
5,0.0303030303030303,0.1806669761215215,0.0303030303030303,0.2744708994708995
6,0.0,0.172547149819877,0.0303030303030303,0.2788731470549653
7,0.0606060606060606,0.2147225669952942,0.0,0.2799543049543049
8,0.0,0.1721780744508017,0.0303030303030303,0.2718734968734969
9,0.0,0.1757134279861552,0.0,0.315981240981241
10,0.0303030303030303,0.2118606141333414,0.0606060606060606,0.311988936988937
11,0.0909090909090909,0.2361252383979656,0.0303030303030303,0.273124098124098
12,0.0606060606060606,0.2373686078231532,0.0303030303030303,0.3138429752066116
13,0.0,0.1519884156247792,0.0303030303030303,0.2750962000962
14,0.0909090909090909,0.2367603776694685,0.0,0.3220188902007084
15,0.0909090909090909,0.2423349377894832,0.0606060606060606,0.3459475709475709
16,0.0,0.1769228246500973,0.0606060606060606,0.2955507455507455
17,0.0909090909090909,0.2389522094067548,0.0303030303030303,0.2932058682058681
18,0.0,0.1776107730653185,0.0303030303030303,0.3044011544011544
19,0.0,0.1480201616565252,0.0303030303030303,0.3375300625300625
20,0.0303030303030303,0.2059034399943491,0.0,0.2944805194805194
21,0.0303030303030303,0.2016134538861811,0.0303030303030303,0.3095358345358345
22,0.0,0.1609900200809291,0.0909090909090909,0.344083694083694
23,0.0303030303030303,0.1871101962011052,0.0909090909090909,0.3360050723687087
24,0.0,0.1793070565797838,0.0606060606060606,0.3546176046176046
25,0.0,0.1670054692781965,0.0606060606060606,0.2912829594647776
26,0.0606060606060606,0.2240175649266558,0.0606060606060606,0.3466931216931217
27,0.0,0.1484560052741871,0.0,0.2826839826839826
28,0.0,0.1611052247415883,0.0303030303030303,0.3265643447461629
29,0.0303030303030303,0.2026983117892208,0.0,0.3149350649350649
30,0.0606060606060606,0.2156936497845588,0.0303030303030303,0.3055435305435305
31,0.0,0.1833350992441901,0.0303030303030303,0.3603535353535353
