label,experiment,dataset,metric,observed,ci_lower_95,ci_upper_95,n_subjects,n_queries,n_bootstrap,seed,bootstrap_unit,source_file
reverse_OXF_train_fit_MAGE_G,reverse_transfer,OXF,top1,0.6666666666666666,0.4666071428571429,0.8571428571428571,17,30,5000,42,subject,outputs/oxf_frozen_reverse_transfer_to_ds004998/oxf_train_fit_query_diagnostics.csv
reverse_OXF_train_fit_MAGE_G,reverse_transfer,OXF,mrr,0.8111111111111111,0.6839080459770115,0.9230902777777776,17,30,5000,42,subject,outputs/oxf_frozen_reverse_transfer_to_ds004998/oxf_train_fit_query_diagnostics.csv
reverse_OXF_train_fit_MAGE_G,reverse_transfer,OXF,top3,0.9666666666666667,0.896551724137931,1.0,17,30,5000,42,subject,outputs/oxf_frozen_reverse_transfer_to_ds004998/oxf_train_fit_query_diagnostics.csv
reverse_OXF_train_fit_MAGE_G,reverse_transfer,OXF,top5,0.9666666666666667,0.896551724137931,1.0,17,30,5000,42,subject,outputs/oxf_frozen_reverse_transfer_to_ds004998/oxf_train_fit_query_diagnostics.csv
reverse_ds_frozen_no_MAGE_G,reverse_transfer,ds004998,top1,0.7058823529411765,0.5294117647058824,0.8571428571428571,18,34,5000,42,subject,outputs/oxf_frozen_reverse_transfer_to_ds004998/ds004998_oxf_frozen_query_diagnostics.csv
reverse_ds_frozen_no_MAGE_G,reverse_transfer,ds004998,mrr,0.7987522281639928,0.6640552704463994,0.9128571428571428,18,34,5000,42,subject,outputs/oxf_frozen_reverse_transfer_to_ds004998/ds004998_oxf_frozen_query_diagnostics.csv
reverse_ds_frozen_no_MAGE_G,reverse_transfer,ds004998,top3,0.8235294117647058,0.6470588235294118,0.9705882352941176,18,34,5000,42,subject,outputs/oxf_frozen_reverse_transfer_to_ds004998/ds004998_oxf_frozen_query_diagnostics.csv
reverse_ds_frozen_no_MAGE_G,reverse_transfer,ds004998,top5,0.9411764705882353,0.8571428571428571,1.0,18,34,5000,42,subject,outputs/oxf_frozen_reverse_transfer_to_ds004998/ds004998_oxf_frozen_query_diagnostics.csv
reverse_ds_frozen_MAGE_G,reverse_transfer,ds004998,top1,0.6764705882352942,0.5,0.8286904761904745,18,34,5000,42,subject,outputs/oxf_frozen_reverse_transfer_to_ds004998/ds004998_oxf_frozen_query_diagnostics.csv
reverse_ds_frozen_MAGE_G,reverse_transfer,ds004998,mrr,0.7784313725490196,0.644263599537037,0.89395202020202,18,34,5000,42,subject,outputs/oxf_frozen_reverse_transfer_to_ds004998/ds004998_oxf_frozen_query_diagnostics.csv
reverse_ds_frozen_MAGE_G,reverse_transfer,ds004998,top3,0.8235294117647058,0.6470588235294118,0.9705882352941176,18,34,5000,42,subject,outputs/oxf_frozen_reverse_transfer_to_ds004998/ds004998_oxf_frozen_query_diagnostics.csv
reverse_ds_frozen_MAGE_G,reverse_transfer,ds004998,top5,0.9117647058823529,0.8181818181818182,1.0,18,34,5000,42,subject,outputs/oxf_frozen_reverse_transfer_to_ds004998/ds004998_oxf_frozen_query_diagnostics.csv
