bootstrap_index,n_subjects_sampled,n_query_rows,v2_top1,v2_mrr,v2_percentile_rank,v2A_top1,v2A_mrr,v2A_percentile_rank,delta_top1_v2A_minus_v2,delta_mrr_v2A_minus_v2,delta_percentile_rank_v2A_minus_v2
0,17,33,0.7575757575757576,0.8686868686868687,0.9585246403428223,0.9393939393939394,0.9696969696969697,0.9932659932659933,0.18181818181818188,0.101010101010101,0.03474135292317104
1,17,33,0.6666666666666666,0.7952020202020202,0.8665442301805939,0.8484848484848485,0.8926767676767676,0.8973063973063973,0.18181818181818188,0.09747474747474738,0.030762167125803375
2,17,32,0.78125,0.8565104166666666,0.8784722222222222,0.875,0.9049479166666666,0.8975694444444444,0.09375,0.04843750000000002,0.01909722222222221
3,17,34,0.7352941176470589,0.8504901960784313,0.9139928698752228,0.9117647058823529,0.943627450980392,0.9379084967320261,0.17647058823529405,0.09313725490196068,0.023915626856803374
4,17,33,0.6666666666666666,0.7825757575757576,0.8126721763085399,0.7878787878787878,0.8497474747474747,0.8367003367003367,0.12121212121212122,0.0671717171717171,0.024028160391796782
5,17,31,0.7741935483870968,0.8518817204301075,0.8769957640925382,0.8709677419354839,0.9018817204301075,0.8942652329749103,0.09677419354838712,0.050000000000000044,0.01726946888237213
6,17,34,0.8235294117647058,0.8897058823529411,0.9183006535947712,0.8823529411764706,0.928921568627451,0.934640522875817,0.05882352941176472,0.03921568627450989,0.016339869281045805
7,17,33,0.7878787878787878,0.8684343434343433,0.9292929292929293,0.9090909090909091,0.9356060606060606,0.9579124579124579,0.12121212121212122,0.06717171717171722,0.028619528619528656
8,17,32,0.84375,0.90078125,0.9457070707070707,0.9375,0.94921875,0.9600694444444444,0.09375,0.04843750000000002,0.014362373737373701
9,17,34,0.7647058823529411,0.8529411764705882,0.8643790849673203,0.8529411764705882,0.9019607843137255,0.8790849673202614,0.08823529411764708,0.0490196078431373,0.014705882352941124
10,17,34,0.5882352941176471,0.7426470588235294,0.7794117647058824,0.7352941176470589,0.8308823529411764,0.8137254901960784,0.1470588235294118,0.08823529411764697,0.03431372549019607
11,17,34,0.6470588235294118,0.7666666666666667,0.8300653594771241,0.7941176470588235,0.8480392156862746,0.8627450980392157,0.1470588235294117,0.08137254901960789,0.03267973856209161
12,17,34,0.8823529411764706,0.9289215686274509,0.9313725490196079,0.9411764705882353,0.9583333333333334,0.9411764705882353,0.05882352941176472,0.02941176470588247,0.009803921568627416
13,17,33,0.8787878787878788,0.9343434343434344,0.9827058463422099,0.9696969696969697,0.9848484848484849,0.9966329966329965,0.09090909090909094,0.0505050505050505,0.013927150290786616
14,17,34,0.6470588235294118,0.7666666666666666,0.8296197266785503,0.7941176470588235,0.8480392156862745,0.8627450980392156,0.1470588235294117,0.08137254901960789,0.03312537136066529
15,17,34,0.6764705882352942,0.7617647058823529,0.7336601307189542,0.7058823529411765,0.7794117647058824,0.7483660130718954,0.02941176470588236,0.01764705882352946,0.014705882352941235
16,17,34,0.6470588235294118,0.7843137254901961,0.8382352941176471,0.7941176470588235,0.872549019607843,0.8725490196078431,0.1470588235294117,0.08823529411764697,0.03431372549019607
17,17,32,0.78125,0.8671875,0.9097222222222222,0.875,0.9244791666666667,0.9305555555555556,0.09375,0.05729166666666674,0.02083333333333337
18,17,34,0.8235294117647058,0.879656862745098,0.8888888888888888,0.8823529411764706,0.9105392156862745,0.9035947712418301,0.05882352941176472,0.030882352941176472,0.014705882352941235
19,17,33,0.8484848484848485,0.9116161616161615,0.9305172941536578,0.9393939393939394,0.9570707070707071,0.9393939393939394,0.09090909090909094,0.045454545454545525,0.008876645240281644
20,17,34,0.6764705882352942,0.7691176470588236,0.7832739156268568,0.7352941176470589,0.8063725490196079,0.8039215686274509,0.05882352941176472,0.03725490196078429,0.020647653000594124
21,17,33,0.7878787878787878,0.888888888888889,0.9686256504438323,0.9696969696969697,0.9848484848484849,0.9966329966329965,0.18181818181818188,0.09595959595959591,0.02800734618916423
22,17,33,0.7878787878787878,0.8686868686868687,0.8653198653198654,0.8787878787878788,0.9141414141414141,0.8787878787878788,0.09090909090909094,0.045454545454545414,0.013468013468013407
23,17,33,0.6666666666666666,0.7901515151515153,0.8631772268135904,0.8181818181818182,0.8775252525252526,0.8939393939393939,0.1515151515151516,0.08737373737373733,0.030762167125803486
24,17,34,0.7352941176470589,0.8259803921568628,0.80941770647653,0.7941176470588235,0.8602941176470589,0.8202614379084967,0.05882352941176461,0.03431372549019607,0.010843731431966708
25,17,32,0.75,0.8489583333333333,0.858270202020202,0.875,0.9114583333333333,0.875,0.125,0.0625,0.01672979797979801
26,17,33,0.5151515151515151,0.6712121212121211,0.7441077441077442,0.6363636363636364,0.755050505050505,0.7878787878787878,0.12121212121212122,0.08383838383838382,0.04377104377104368
27,17,34,0.7058823529411765,0.7887254901960784,0.7898098633392752,0.7647058823529411,0.821078431372549,0.80718954248366,0.05882352941176461,0.032352941176470584,0.017379679144384874
28,17,31,0.8709677419354839,0.9137096774193548,0.9450961225154773,0.9354838709677419,0.9475806451612904,0.9587813620071685,0.06451612903225801,0.03387096774193554,0.013685239491691203
29,17,33,0.8181818181818182,0.8760101010101009,0.8872053872053872,0.8787878787878788,0.9078282828282828,0.9006734006734006,0.06060606060606055,0.03181818181818186,0.013468013468013407
30,17,31,0.6774193548387096,0.7981182795698925,0.8590746171391334,0.8387096774193549,0.8857526881720431,0.8906810035842294,0.16129032258064524,0.08763440860215066,0.03160638644509606
31,17,34,0.5882352941176471,0.7129901960784313,0.6558229352347,0.6470588235294118,0.7438725490196078,0.6683006535947712,0.05882352941176472,0.030882352941176472,0.012477718360071166
32,17,30,0.7666666666666667,0.8497222222222223,0.9222222222222223,0.8666666666666667,0.9125,0.95,0.09999999999999998,0.06277777777777771,0.02777777777777768
33,17,34,0.7352941176470589,0.8379901960784313,0.9260249554367201,0.8823529411764706,0.9227941176470589,0.9558823529411765,0.1470588235294117,0.0848039215686276,0.029857397504456373
34,17,31,0.8387096774193549,0.9193548387096774,0.9749103942652331,1.0,1.0,1.0,0.16129032258064513,0.08064516129032262,0.02508960573476693
35,17,31,0.6774193548387096,0.7545698924731182,0.7831541218637993,0.7096774193548387,0.7809139784946236,0.8082437275985662,0.032258064516129115,0.026344086021505397,0.02508960573476693
36,17,34,0.5294117647058824,0.6906862745098038,0.7603980986333927,0.7058823529411765,0.7916666666666667,0.8006535947712418,0.17647058823529416,0.10098039215686294,0.04025549613784907
37,17,33,0.8484848484848485,0.9191919191919192,0.9787266605448424,0.9696969696969697,0.9848484848484849,0.9966329966329965,0.12121212121212122,0.06565656565656564,0.017906336088154173
38,17,33,0.7878787878787878,0.8684343434343433,0.9338842975206613,0.9090909090909091,0.9356060606060606,0.9579124579124579,0.12121212121212122,0.06717171717171722,0.02402816039179667
39,17,33,0.48484848484848486,0.6378787878787879,0.7278849097030915,0.6363636363636364,0.7297979797979798,0.7777777777777778,0.1515151515151515,0.09191919191919184,0.04989286807468629
40,17,34,0.7647058823529411,0.8379901960784314,0.8316993464052288,0.8235294117647058,0.8688725490196078,0.8447712418300654,0.05882352941176472,0.03088235294117636,0.013071895424836555
41,17,34,0.5,0.6588235294117647,0.6993464052287582,0.6176470588235294,0.7352941176470589,0.738562091503268,0.11764705882352944,0.07647058823529418,0.039215686274509776
42,17,33,0.5757575757575758,0.727020202020202,0.7895622895622896,0.7272727272727273,0.8194444444444444,0.82996632996633,0.1515151515151515,0.09242424242424241,0.04040404040404044
43,17,34,0.8823529411764706,0.9213235294117647,0.9515745692216281,0.9411764705882353,0.9522058823529411,0.9624183006535948,0.05882352941176472,0.030882352941176472,0.010843731431966708
44,17,34,0.6764705882352942,0.7892156862745099,0.7532679738562091,0.7647058823529411,0.8333333333333334,0.7647058823529411,0.08823529411764697,0.044117647058823484,0.011437908496731986
45,17,31,0.6451612903225806,0.746774193548387,0.7616487455197133,0.7096774193548387,0.7876344086021505,0.7849462365591398,0.06451612903225812,0.04086021505376347,0.023297491039426466
46,17,33,0.7272727272727273,0.8128787878787879,0.8181818181818182,0.7878787878787878,0.8497474747474747,0.8367003367003367,0.06060606060606055,0.03686868686868683,0.01851851851851849
47,17,32,0.875,0.9322916666666666,0.9791666666666667,0.96875,0.984375,0.9965277777777778,0.09375,0.05208333333333337,0.01736111111111105
48,17,33,0.8181818181818182,0.8760101010101009,0.8855218855218855,0.8787878787878788,0.9078282828282828,0.9006734006734006,0.06060606060606055,0.03181818181818186,0.015151515151515138
49,17,33,0.7878787878787878,0.8482323232323232,0.8322620140801958,0.8181818181818182,0.8648989898989898,0.8400673400673401,0.030303030303030387,0.016666666666666607,0.007805325987144229
50,17,32,0.9375,0.9557291666666667,0.9375,0.9375,0.9557291666666667,0.9375,0.0,0.0,0.0
51,17,32,0.65625,0.7757812500000001,0.8044507575757576,0.78125,0.8450520833333333,0.8315972222222222,0.125,0.06927083333333317,0.02714646464646464
52,17,34,0.6764705882352942,0.7887254901960785,0.8796791443850268,0.8235294117647058,0.875,0.9183006535947712,0.1470588235294117,0.08627450980392148,0.03862150920974439
53,17,34,0.7058823529411765,0.8208333333333333,0.8786393345216875,0.8823529411764706,0.9105392156862745,0.9035947712418301,0.17647058823529405,0.08970588235294119,0.024955436720142554
54,17,33,0.8787878787878788,0.9063131313131313,0.8956228956228957,0.8787878787878788,0.9078282828282828,0.9006734006734006,0.0,0.0015151515151514694,0.005050505050504972
55,17,34,0.5294117647058824,0.6936274509803921,0.6748366013071895,0.6470588235294118,0.7622549019607843,0.6993464052287582,0.11764705882352944,0.06862745098039214,0.024509803921568762
56,17,33,0.5454545454545454,0.6578282828282828,0.7110498928680746,0.6363636363636364,0.7108585858585859,0.7457912457912459,0.09090909090909094,0.053030303030303094,0.034741352923171265
57,17,34,0.7058823529411765,0.8110294117647059,0.8682412358882947,0.8235294117647058,0.8811274509803921,0.8970588235294118,0.11764705882352933,0.07009803921568625,0.02881758764111708
58,17,34,0.7058823529411765,0.8034313725490198,0.8862150920974451,0.8235294117647058,0.875,0.9183006535947712,0.11764705882352933,0.07156862745098025,0.03208556149732611
59,17,32,0.625,0.7786458333333334,0.8802083333333333,0.8125,0.8932291666666666,0.9236111111111112,0.1875,0.11458333333333326,0.0434027777777779
60,17,32,0.78125,0.8723958333333334,0.9097222222222222,0.90625,0.9401041666666667,0.9340277777777778,0.125,0.06770833333333337,0.02430555555555558
61,17,32,0.625,0.7549479166666667,0.7986111111111112,0.75,0.8294270833333333,0.828125,0.125,0.07447916666666654,0.02951388888888884
62,17,34,0.8235294117647058,0.879656862745098,0.8905228758169935,0.8823529411764706,0.9105392156862746,0.9035947712418301,0.05882352941176472,0.030882352941176583,0.013071895424836555
63,17,32,0.75,0.84375,0.857165404040404,0.84375,0.8958333333333333,0.8715277777777778,0.09375,0.05208333333333326,0.014362373737373813
64,17,32,0.6875,0.8072916666666666,0.8420138888888888,0.8125,0.8802083333333333,0.8680555555555556,0.125,0.07291666666666663,0.02604166666666674
65,17,34,0.6764705882352942,0.808578431372549,0.9190433749257279,0.8823529411764706,0.9227941176470589,0.9558823529411765,0.2058823529411764,0.11421568627450984,0.036838978015448665
66,17,31,0.8064516129032258,0.8596774193548387,0.899641577060932,0.8709677419354839,0.8951612903225806,0.9175627240143369,0.06451612903225812,0.03548387096774197,0.017921146953404965
67,17,31,0.8387096774193549,0.9086021505376344,0.9713261648745519,0.9354838709677419,0.967741935483871,0.992831541218638,0.09677419354838701,0.05913978494623662,0.021505376344086113
68,17,32,0.5625,0.715625,0.8072916666666667,0.75,0.8229166666666666,0.8506944444444444,0.1875,0.10729166666666667,0.04340277777777768
69,17,34,0.7647058823529411,0.8303921568627451,0.8508615567439096,0.8235294117647058,0.8627450980392157,0.8660130718954248,0.05882352941176472,0.032352941176470584,0.015151515151515138
70,17,33,0.6363636363636364,0.7494949494949495,0.8164983164983165,0.7272727272727273,0.8131313131313131,0.8518518518518519,0.09090909090909094,0.0636363636363636,0.03535353535353536
71,17,33,0.8181818181818182,0.8835858585858585,0.9343434343434344,0.9090909090909091,0.9356060606060606,0.9579124579124579,0.09090909090909083,0.05202020202020208,0.023569023569023573
72,17,34,0.7352941176470589,0.8183823529411764,0.8235294117647058,0.7941176470588235,0.8541666666666667,0.8415032679738562,0.05882352941176461,0.03578431372549029,0.017973856209150374
73,17,32,0.8125,0.9010416666666666,0.9711174242424242,0.96875,0.984375,0.9965277777777778,0.15625,0.08333333333333337,0.02541035353535359
74,17,34,0.9117647058823529,0.9558823529411765,0.988562091503268,1.0,1.0,1.0,0.08823529411764708,0.044117647058823484,0.011437908496731986
75,17,32,0.78125,0.86953125,0.9370265151515151,0.9375,0.94921875,0.9600694444444444,0.15625,0.07968750000000002,0.02304292929292928
76,17,34,0.8529411764705882,0.9017156862745097,0.94281045751634,0.9117647058823529,0.9375,0.9591503267973858,0.05882352941176472,0.03578431372549029,0.016339869281045805
77,17,31,0.7741935483870968,0.8599462365591397,0.9289670902574129,0.9032258064516129,0.9314516129032258,0.9551971326164874,0.12903225806451613,0.07150537634408605,0.026230042359074557
78,17,34,0.7647058823529411,0.8379901960784314,0.8316993464052288,0.8235294117647058,0.8688725490196079,0.8447712418300654,0.05882352941176472,0.030882352941176472,0.013071895424836555
79,17,33,0.5757575757575758,0.7446969696969697,0.849709213345577,0.8181818181818182,0.8775252525252526,0.8939393939393939,0.24242424242424243,0.13282828282828285,0.04423018059381689
80,17,33,0.8484848484848485,0.9037878787878788,0.9433731251913071,0.9393939393939394,0.9507575757575758,0.9612794612794613,0.09090909090909094,0.046969696969696995,0.017906336088154173
81,17,34,0.8823529411764706,0.9362745098039216,0.9826203208556149,0.9705882352941176,0.9852941176470589,0.9967320261437908,0.08823529411764708,0.0490196078431373,0.014111705288175846
82,17,32,0.71875,0.8041666666666667,0.8363320707070707,0.8125,0.8541666666666666,0.8576388888888888,0.09375,0.04999999999999993,0.02130681818181812
83,17,33,0.8181818181818182,0.8631313131313132,0.9006734006734006,0.8484848484848485,0.8863636363636364,0.9191919191919191,0.030303030303030276,0.02323232323232316,0.01851851851851849
84,17,34,0.7647058823529411,0.8529411764705882,0.863339275103981,0.8529411764705882,0.9019607843137254,0.8790849673202614,0.08823529411764708,0.04901960784313719,0.015745692216280416
85,17,34,0.8823529411764706,0.9362745098039217,0.9787581699346406,0.9705882352941176,0.9852941176470589,0.9967320261437908,0.08823529411764708,0.04901960784313719,0.017973856209150152
