axis_name,target_column,axis_role,status,ridge_alpha,n_loso_folds,n_predictions,spearman_r,spearman_p,pearson_r,pearson_p,mae,rmse,permutation_p_spearman_directional,n_permutations,weight_stability_status,fraction_features_sign_stable_80pct,n_features_sign_stable,n_features_total,median_pairwise_fold_weight_spearman,axis_weight_stable,sign_consistency_threshold,fold_weight_spearman_threshold
AR_contralateral,contralateral_ar_response,primary,ok,1.0,18,36,-0.6089405868309894,8.112634694585781e-05,-0.4256097935620631,0.009656059951856748,3.8133196144722956,5.510902968975857,0.9924015196960608,5000,ok,0.6,6,10,0.8424242424242423,False,0.8,0.5
tremor_contralateral,contralateral_trem_response,primary_guarded,ok,1.0,18,36,-0.3735113513512097,0.02483989036329732,-0.13357257931440725,0.4373704758737431,2.4375483176003088,3.042848014681579,0.858628274345131,5000,ok,0.8,8,10,0.7333333333333332,True,0.8,0.5
total_updrs,sum_response,secondary,ok,1.0,18,36,-0.5051026959645953,0.0016781963394604982,-0.4725127408457308,0.003615046902170841,10.283461612402043,13.804656336680491,0.9064187162567486,5000,ok,0.7,7,10,0.8909090909090909,False,0.8,0.5
axial,axial_response,secondary,ok,1.0,18,36,-0.20387781107609704,0.23299771320873436,-0.042935762975082135,0.8036412265975137,5.016703125747963,11.91804533363244,0.6056788642271546,5000,ok,0.9,9,10,0.8545454545454544,True,0.8,0.5
