symptom,laterality,primary_target,component,feature_kind,feature_column,raw_response_column,percent_response_column,off_severity_column,n_raw,raw_response_spearman_r,raw_response_spearman_p,n_percent,percent_response_spearman_r,percent_response_spearman_p,n_off,off_severity_spearman_r,off_severity_spearman_p,n_partial_raw,partial_raw_response_controlling_off_r,n_partial_percent,partial_percent_response_controlling_off_r,raw_response_sign,percent_response_sign,off_severity_sign,raw_vs_percent_sign_flip,baseline_severity_opposite_percent_pattern,raw_response_spearman_p_fdr_q,percent_response_spearman_p_fdr_q,off_severity_spearman_p_fdr_q
AR,contralateral,True,aperiodic_normalization,oriented_mean,component__aperiodic_normalization__oriented_mean,contralateral_ar_response,contralateral_ar_percent_response,contralateral_ar_off,36,0.1644555857309098,0.3378323043416358,36,0.2548083659662359,0.13367256035929762,36,-0.19004570786150224,0.26691828568836856,36,0.31260816407958525,36,0.23436709170637737,positive,positive,negative,False,False,0.9912437215571192,0.576708463148429,0.6005661427988293
AR,contralateral,True,aperiodic_normalization,norm,component__aperiodic_normalization__norm,contralateral_ar_response,contralateral_ar_percent_response,contralateral_ar_off,36,-0.05965804554604432,0.729625507224727,36,-0.15722218325576257,0.3597957121262012,36,0.19418275728433765,0.25645027467325304,36,-0.19060825493324024,36,-0.13345050788248392,negative,negative,positive,False,False,0.9912437215571192,0.6817181913970128,0.6005661427988293
AR,contralateral,True,beta_power_residual_suppression,oriented_mean,component__beta_power_residual_suppression__oriented_mean,contralateral_ar_response,contralateral_ar_percent_response,contralateral_ar_off,36,-0.01371072115835092,0.936742551378667,36,-0.12803012090129276,0.4567912356719818,36,0.04945792338338608,0.7745334130114568,36,-0.045945907323570206,36,-0.12238378165737768,negative,negative,positive,False,False,0.9912437215571192,0.7709846277088227,0.871350089637889
AR,contralateral,True,beta_power_residual_suppression,norm,component__beta_power_residual_suppression__norm,contralateral_ar_response,contralateral_ar_percent_response,contralateral_ar_off,36,-0.19616877965025162,0.25152311781150366,36,-0.2471638889907132,0.14613918300307785,36,0.1386887982082419,0.41985385005556575,36,-0.3159945076881405,36,-0.23200152389097414,negative,negative,positive,False,False,0.9148743260264007,0.576708463148429,0.7378580916186801
AR,contralateral,True,cortico_stn_beta_desynchronization,oriented_mean,component__cortico_stn_beta_desynchronization__oriented_mean,contralateral_ar_response,contralateral_ar_percent_response,contralateral_ar_off,36,-0.06301658378549749,0.7150226137508905,36,-0.04138738047262334,0.8105914788662282,36,0.05591457134466364,0.7460129728643667,36,-0.10755922198611616,36,-0.03382386999828932,negative,negative,positive,False,False,0.9912437215571192,0.9022828748446065,0.8525862547021335
AR,contralateral,True,cortico_stn_beta_desynchronization,norm,component__cortico_stn_beta_desynchronization__norm,contralateral_ar_response,contralateral_ar_percent_response,contralateral_ar_off,36,-0.0751452986563464,0.6631440080627834,36,0.029783442022355115,0.8630978591599152,36,-0.11118347789319952,0.5185617464807052,36,-0.02076330813053242,36,0.014186080981071715,negative,positive,negative,True,False,0.9912437215571192,0.9415613009017257,0.7943924626938462
AR,contralateral,True,gamma_restoration,oriented_mean,component__gamma_restoration__oriented_mean,contralateral_ar_response,contralateral_ar_percent_response,contralateral_ar_off,36,0.13671171001163368,0.42657571099127306,36,0.3825431709105092,0.021300333243843245,36,-0.28912869570600896,0.08721166710983437,36,0.3492613181722139,36,0.36028128572575757,positive,positive,negative,False,False,0.9912437215571192,0.26575983102132134,0.5885632478671536
AR,contralateral,True,gamma_restoration,norm,component__gamma_restoration__norm,contralateral_ar_response,contralateral_ar_percent_response,contralateral_ar_off,36,-0.27474175859618577,0.10487762614319011,36,-0.22124842645178083,0.19470640006998877,36,-0.061209022672911235,0.7228698724597662,36,-0.28453052709180776,36,-0.23276558634511568,negative,negative,negative,False,False,0.8591607895188081,0.609515687175617,0.8394617873726317
AR,contralateral,True,coupling_asymmetry_transition,oriented_mean,component__coupling_asymmetry_transition__oriented_mean,contralateral_ar_response,contralateral_ar_percent_response,contralateral_ar_off,36,-0.013990603601505969,0.9354539188951865,36,-0.06531561964484062,0.7050831997584898,36,0.12359435150720825,0.4726613703835831,36,-0.09169745467439816,36,-0.04858337198192392,negative,negative,positive,False,False,0.9912437215571192,0.9022828748446065,0.756258192613733
AR,contralateral,True,coupling_asymmetry_transition,norm,component__coupling_asymmetry_transition__norm,contralateral_ar_response,contralateral_ar_percent_response,contralateral_ar_off,36,0.018214182047243618,0.9160291881937453,36,0.01342455423530321,0.9380602824387075,36,0.08377525081241731,0.6271320205841374,36,-0.029424245518090246,36,0.025702677247594567,positive,positive,positive,False,False,0.9912437215571192,0.9779957211334628,0.7964186299473991
