metric,observed,bootstrap_mean,ci_lower_95,ci_upper_95,n_bootstrap,seed,bootstrap_unit
v2A_top1,0.8484848484848485,0.8474467896494223,0.6666666666666666,1.0,5000,42,subject
v2A_mrr,0.8926767676767676,0.8919598148199097,0.7585655834914611,1.0,5000,42,subject
v2A_percentile_rank,0.8973063973063973,0.8967805995664072,0.7483660130718954,1.0,5000,42,subject
delta_top1_v2A_minus_v2,0.12121212121212122,0.12034689955069902,0.030280748663101587,0.23529411764705876,5000,42,subject
delta_mrr_v2A_minus_v2,0.0671717171717171,0.06681214499341383,0.01666666666666672,0.12745098039215685,5000,42,subject
delta_percentile_rank_v2A_minus_v2,0.024640342822160877,0.02466187319697241,0.007575757575757569,0.046791443850267345,5000,42,subject
