feature_group,status,n_features,scorer,n_pairs,top1,mrr,top3,top5,percentile_rank,mean_true_rank,median_true_rank,failures,retrieval_margin,same_subject_hard_negative_success,other_subject_same_task_side_failure_count,quality_related_failure_count
STN_features,ok,22,group_balanced,33,0.696969696969697,0.7856421356421357,0.8181818181818182,0.9393939393939394,0.8367003367003368,1.9090909090909092,1.0,10,0.07994552375617488,0.4375,9,1
compact_aperiodic_residual,ok,12,standard,33,0.696969696969697,0.8141414141414142,0.9393939393939394,0.9696969696969697,0.9015151515151515,1.606060606060606,1.0,10,0.08465569741164714,0.5625,7,3
coupling,ok,36,group_balanced,33,0.6060606060606061,0.7533670033670034,0.8787878787878788,0.9696969696969697,0.8429752066115703,1.878787878787879,1.0,13,0.0899310841844046,0.71875,7,6
raw_beta_gamma_power,ok,20,group_balanced,33,0.5151515151515151,0.6677970177970177,0.7272727272727273,0.8484848484848485,0.7339302112029384,2.515151515151515,1.0,16,-0.1379583605109569,0.5,11,5
MEG_motor_power_features,ok,10,group_balanced,33,0.48484848484848486,0.6698172198172199,0.8787878787878788,0.9090909090909091,0.7667584940312213,2.3636363636363638,2.0,17,-0.1534753394042084,0.53125,13,4
all_v2_features,ok,61,group_balanced,33,0.7272727272727273,0.8255050505050505,0.9090909090909091,0.9696969696969697,0.8726660544842364,1.6666666666666667,1.0,9,0.1380571483483047,0.59375,7,2
v2A_compact_rerank_features,ok,12,standard,33,0.696969696969697,0.8141414141414142,0.9393939393939394,0.9696969696969697,0.9015151515151515,1.606060606060606,1.0,10,0.08465569741164714,0.5625,7,3
