subset,status,n_pairs,n_subjects,v2_top1,v2_mrr,v2A_top1,v2A_mrr,v2A_minus_v2_top1,v2A_minus_v2_mrr
Hold_only,ok,17,17,0.7058823529411765,0.8235294117647058,0.8823529411764706,0.9215686274509803,0.17647058823529405,0.0980392156862745
Move_only,ok,16,16,0.75,0.8359375,0.8125,0.8671875,0.0625,0.03125
Left_only,ok,24,12,0.8333333333333334,0.9166666666666666,0.8333333333333334,0.9097222222222222,0.0,-0.00694444444444442
Right_only,ok,9,5,0.7777777777777778,0.8425925925925926,0.7777777777777778,0.8425925925925926,0.0,0.0
